filename,chromosome,sex,population
HG00099.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam,20,female,GBR
HG00101.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam,20,male,GBR
HG00121.chrom20.ILLUMINA.bwa.GBR.exome.20121211.bam,20,female,GBR
HG00151.chrom20.ILLUMINA.bwa.GBR.exome.20130415.bam,20,male,GBR
HG00173.chrom20.ILLUMINA.bwa.FIN.exome.20130415.bam,20,female,FIN
HG00268.chrom20.ILLUMINA.bwa.FIN.exome.20121211.bam,20,female,FIN
HG00367.chrom20.ILLUMINA.bwa.FIN.exome.20120522.bam,20,female,FIN
HG00500.chrom20.ILLUMINA.bwa.CHS.exome.20120522.bam,20,male,CHS
HG00553.chrom20.ILLUMINA.bwa.PUR.exome.20120522.bam,20,male,PUR
HG00565.chrom20.ILLUMINA.bwa.CHS.exome.20130415.bam,20,male,CHS
